"newspapers","word","n","total","tf","idf","tf_idf"
"Alaska Dispatch News","alaska",26,3864,0.0067287784679089,1.09861228866811,0.0073923187125701
"LATimes","joshua",18,4855,0.00370751802265705,1.09861228866811,0.00407312486014953
"The Spokesman-Review","mammoth",16,4489,0.00356426821118289,1.09861228866811,0.00391574885691463
"The Spokesman-Review","simpson",14,4489,0.00311873468478503,1.09861228866811,0.0034262802498003
"The Spokesman-Review","bones",12,4489,0.00267320115838717,1.09861228866811,0.00293681164268597
"Alaska Dispatch News","alaskans",11,3864,0.00284679089026915,1.09861228866811,0.00312751945531812
"Alaska Dispatch News","utqiagvik",11,3864,0.00284679089026915,1.09861228866811,0.00312751945531812
"The Spokesman-Review","woolly",10,4489,0.00222766763198931,1.09861228866811,0.00244734303557164
"Alaska Dispatch News","ocean",9,3864,0.00232919254658385,1.09861228866811,0.00255887955435119
"The Spokesman-Review","amazon",9,4489,0.00200490086879038,1.09861228866811,0.00220260873201448
"The Spokesman-Review","field",9,4489,0.00200490086879038,1.09861228866811,0.00220260873201448
"The Spokesman-Review","mammoths",9,4489,0.00200490086879038,1.09861228866811,0.00220260873201448
"The Spokesman-Review","spokane",9,4489,0.00200490086879038,1.09861228866811,0.00220260873201448
"LATimes","department",8,4855,0.00164778578784758,1.09861228866811,0.00181027771562201
"LATimes","mojave",8,4855,0.00164778578784758,1.09861228866811,0.00181027771562201
"The Spokesman-Review","employees",8,4489,0.00178213410559145,1.09861228866811,0.00195787442845731
"The Spokesman-Review","museum",8,4489,0.00178213410559145,1.09861228866811,0.00195787442845731
"Alaska Dispatch News","arctic",7,3864,0.00181159420289855,1.09861228866811,0.00199023965338426
"LATimes","defense",7,4855,0.00144181256436663,1.09861228866811,0.00158399300116926
"LATimes","military",7,4855,0.00144181256436663,1.09861228866811,0.00158399300116926
"LATimes","pentagon",7,4855,0.00144181256436663,1.09861228866811,0.00158399300116926
"The Spokesman-Review","cold",7,4489,0.00155936734239252,1.09861228866811,0.00171314012490015
"The Spokesman-Review","feet",7,4489,0.00155936734239252,1.09861228866811,0.00171314012490015
"The Spokesman-Review","skeleton",7,4489,0.00155936734239252,1.09861228866811,0.00171314012490015
"Alaska Dispatch News","baker",6,3864,0.0015527950310559,1.09861228866811,0.00170591970290079
"Alaska Dispatch News","knowledge",6,3864,0.0015527950310559,1.09861228866811,0.00170591970290079
"Alaska Dispatch News","shultz",6,3864,0.0015527950310559,1.09861228866811,0.00170591970290079
"LATimes","populations",6,4855,0.00123583934088568,1.09861228866811,0.00135770828671651
"LATimes","technologies",6,4855,0.00123583934088568,1.09861228866811,0.00135770828671651
"The Spokesman-Review","chicago",6,4489,0.00133660057919358,1.09861228866811,0.00146840582134298
"The Spokesman-Review","company",6,4489,0.00133660057919358,1.09861228866811,0.00146840582134298
"The Spokesman-Review","elephants",6,4489,0.00133660057919358,1.09861228866811,0.00146840582134298
"Alaska Dispatch News","acidification",5,3864,0.00129399585921325,1.09861228866811,0.00142159975241733
"Alaska Dispatch News","community",5,3864,0.00129399585921325,1.09861228866811,0.00142159975241733
"Alaska Dispatch News","dividends",5,3864,0.00129399585921325,1.09861228866811,0.00142159975241733
"Alaska Dispatch News","fee",5,3864,0.00129399585921325,1.09861228866811,0.00142159975241733
"LATimes","china",5,4855,0.00102986611740474,1.09861228866811,0.00113142357226376
"LATimes","generation",5,4855,0.00102986611740474,1.09861228866811,0.00113142357226376
"LATimes","refugia",5,4855,0.00102986611740474,1.09861228866811,0.00113142357226376
"The Spokesman-Review","350",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","amount",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","bringing",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","burn",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","communications",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","display",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","elephant",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","group",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"The Spokesman-Review","modern",5,4489,0.00111383381599465,1.09861228866811,0.00122367151778582
"Alaska Dispatch News","effective",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","environment",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","f",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","former",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","infrastructure",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","jan",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","medicine",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","normal",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","organizations",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","residents",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","return",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","sullivan",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"Alaska Dispatch News","whales",4,3864,0.0010351966873706,1.09861228866811,0.00113727980193386
"LATimes","2010",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","am",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","capacity",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","challenge",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","desert",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","floods",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","getting",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","hausfather",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","leaders",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","number",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","once",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","politicians",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"LATimes","relative",4,4855,0.00082389289392379,1.09861228866811,0.000905138857811007
"The Spokesman-Review","deniers",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","elevation",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","latah",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","months",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","mountain",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","mountains",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"The Spokesman-Review","skeletons",4,4489,0.000891067052795723,1.09861228866811,0.000978937214228657
"Alaska Dispatch News","addressing",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","affect",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","alaska's",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","bipartisan",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","congress",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","created",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","demonstrated",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","diseases",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","emerging",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","endowment",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","failure",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","generous",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","humidity",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","indigenous",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","markle",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","murkowski",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","party",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","physicians",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","politics",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","proven",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","responsive",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","roger",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","town",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","uaf",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"Alaska Dispatch News","waters",3,3864,0.00077639751552795,1.09861228866811,0.000852959851450396
"LATimes","achieve",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","acknowledge",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","atlantic",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","austin",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","bases",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","belgium",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","catastrophic",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","emitted",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","europe",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","existential",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","expected",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","fifth",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","general",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","guha",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","hand",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","included",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","installations",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","objectives",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","park",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","passing",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","poll",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","possible",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","reading",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","refuge",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","sapir",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","secretary",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","seeds",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","she",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","survive",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","threats",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","tons",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","u.n",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","variants",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","vehicles",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"LATimes","wave",3,4855,0.000617919670442842,1.09861228866811,0.000678854143358255
"The Spokesman-Review","amazon's",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","annual",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","authors",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","coplen",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","days",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","de",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","dna",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","exhibit",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","june",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","let's",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","loss",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","mastodon",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","mount",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","mounted",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","museum's",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","offsets",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","process",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","purchasing",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","received",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","sandy",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","slow",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","snowpack",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","spokane's",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
"The Spokesman-Review","traits",3,4489,0.000668300289596792,1.09861228866811,0.000734202910671492
